feature,t_statistic,p_value,reject_null
description length,-21.322279821886113,8.24571903960537e-96,True
#posts,-14.056530482174576,5.1529578611545485e-43,True
nums/length username,9.264103428741636,3.164646878241286e-20,True
fullname words,-6.736395771203198,1.8501944841976316e-11,True
private,5.216507843586541,1.9167124429805743e-07,True
external URL,-4.3929056078185695,1.1480843784394406e-05,True
#follows,-3.950433707142564,8.04237230105276e-05,True
nums/length fullname,3.1620296362437035,0.0015801342932214772,True
#followers,-2.9974201025227343,0.0027532880678180997,True
name==username,0.03820383349849553,0.9695270008588013,False
profile pic,,,False
